"ID","Property","Data"
"http://example.org/NIMP/AC-DVQMMS695302","https://identifiers.org/brain-bican/vocab/percent_cdna_longer_than_400bp","0.995"
"http://example.org/NIMP/AC-BCZYZE332332","https://w3id.org/biolink/vocab/category","bican:AmplifiedCdna"
"http://example.org/NIMP/AC-IEFFAY708035","http://www.w3.org/2000/01/rdf-schema#label","A8HX_231002_01_A04"
"http://example.org/NIMP/AC-YEACFE562584","http://www.w3.org/2000/01/rdf-schema#label","A8XR_230829_01_A02"
"http://example.org/NIMP/AC-HVSVTL225919","https://identifiers.org/brain-bican/vocab/percent_cdna_longer_than_400bp","0.977"
"http://example.org/NIMP/AC-ZAZBYS743487","https://identifiers.org/brain-bican/vocab/quantity_ng","334.9067"
"http://example.org/NIMP/AC-USWOPT347477","https://w3id.org/biolink/vocab/category","bican:AmplifiedCdna"
"http://example.org/NIMP/AC-FBCACA646900","https://w3id.org/biolink/vocab/category","bican:AmplifiedCdna"
"http://example.org/NIMP/AC-HOLHHI479888","https://w3id.org/biolink/vocab/category","bican:AmplifiedCdna"
"http://example.org/NIMP/AC-IFFGIE148958","https://identifiers.org/brain-bican/vocab/quantity_ng","329.5435"
"http://example.org/NIMP/AC-XWYVTW133633","http://www.w3.org/2000/01/rdf-schema#label","B8XM_230926_01_E01"
"http://example.org/NIMP/AC-HQKQJL671978","https://identifiers.org/brain-bican/vocab/quantity_ng","326.0619"
"http://example.org/NIMP/AC-TWQJHF476996","https://identifiers.org/brain-bican/vocab/quantity_ng","522.1138"
"http://example.org/NIMP/AC-YQNSUW676510","http://www.w3.org/ns/prov#wasDerivedFrom","file:///Users/tekrajchhetri/Documents/rapid_release/new_la_data/BC-IAXCEG638687"
"http://example.org/NIMP/AC-AVJDDG167778","http://www.w3.org/ns/prov#wasDerivedFrom","file:///Users/tekrajchhetri/Documents/rapid_release/new_la_data/BC-AVJDDG968526"
"http://example.org/NIMP/AC-DETYPL845027","https://identifiers.org/brain-bican/vocab/pass_fail_result","Pass"
