"ID","Property","Data"
"http://example.org/NIMP/DO-PNSN7494","http://www.w3.org/2000/01/rdf-schema#label","C57BL6J-734402"
"http://example.org/NIMP/DO-LNOH5674","http://www.w3.org/2000/01/rdf-schema#label","QM23.57.116"
"http://example.org/NIMP/DO-AGMH8242","https://identifiers.org/brain-bican/vocab/b5436e99-f0a7-4c30-825d-56b88ee2ac1d","years"
"http://example.org/NIMP/DO-GIJC8347","https://identifiers.org/brain-bican/vocab/632d3d3f-f85b-4efc-a1ab-010fe417ae81","1"
"http://example.org/NIMP/DO-ONMO2975","https://w3id.org/biolink/vocab/category","bican:Donor"
"http://example.org/NIMP/DO-BYHZ7148","https://identifiers.org/brain-bican/vocab/632d3d3f-f85b-4efc-a1ab-010fe417ae81","1"
"http://example.org/NIMP/DO-IKOQ4823","http://www.w3.org/2000/01/rdf-schema#label","UWA 7648"
"http://example.org/NIMP/DO-NMMJ7497","https://identifiers.org/brain-bican/vocab/0630a265-4a63-48f4-8853-66b929002306","P14"
"http://example.org/NIMP/DO-LOIF1227","https://w3id.org/biolink/vocab/category","bican:Donor"
"http://example.org/NIMP/DO-CKCL9258","https://identifiers.org/brain-bican/vocab/3bed1f94-9d82-4ed7-afdf-79d896b24dbb","birth"
"http://example.org/NIMP/DO-DZBU2567","https://w3id.org/biolink/vocab/category","bican:Donor"
"http://example.org/NIMP/DO-PKQL9078","https://identifiers.org/brain-bican/vocab/632d3d3f-f85b-4efc-a1ab-010fe417ae81","2"
"http://example.org/NIMP/DO-JDOJ4370","https://identifiers.org/brain-bican/vocab/632d3d3f-f85b-4efc-a1ab-010fe417ae81","2"
"http://example.org/NIMP/DO-FHBD4108","https://identifiers.org/brain-bican/vocab/b5436e99-f0a7-4c30-825d-56b88ee2ac1d","years"
"http://example.org/NIMP/DO-ZVBB1164","https://identifiers.org/brain-bican/vocab/species","NCBITaxon:9606"
"http://example.org/NIMP/DO-OSIZ6721","https://identifiers.org/brain-bican/vocab/b5436e99-f0a7-4c30-825d-56b88ee2ac1d","years"
"http://example.org/NIMP/DO-JQMJ6639","https://identifiers.org/brain-bican/vocab/0630a265-4a63-48f4-8853-66b929002306","9 yrs"
"http://example.org/NIMP/DO-PMIB1176","https://identifiers.org/brain-bican/vocab/3bed1f94-9d82-4ed7-afdf-79d896b24dbb","birth"
"http://example.org/NIMP/DO-FIGR3489","https://identifiers.org/brain-bican/vocab/0630a265-4a63-48f4-8853-66b929002306","6 yrs"
"http://example.org/NIMP/DO-XZYB1193","https://identifiers.org/brain-bican/vocab/b5436e99-f0a7-4c30-825d-56b88ee2ac1d","years"
"http://example.org/NIMP/DO-DZBU2567","https://identifiers.org/brain-bican/vocab/0630a265-4a63-48f4-8853-66b929002306","P14"
"http://example.org/NIMP/DO-VYQS4669","https://w3id.org/biolink/vocab/category","bican:Donor"
"http://example.org/NIMP/DO-LNOH5674","https://identifiers.org/brain-bican/vocab/species","NCBITaxon:9544"
